epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1743.22,0.91805,2.29689,1.00585,1.43878,0,0.94826,0.98667,0.98196,0.93694,0.94826,0.98667,0.98196,0.91362,0.33053,0.42618,0.25945,0.80923,0,0.000992212,0.000992212,0.000992212
29,1803.5,0.91235,2.27575,1.02233,1.43712,0,0.96775,0.98642,0.9851,0.95816,0.96775,0.98642,0.9851,0.90082,0.29098,0.43471,0.25995,0.80448,0,0.000987812,0.000987812,0.000987812
30,1864.33,0.92092,2.29146,1.01041,1.43767,0,0.9629,0.95069,0.97391,0.9564,0.9629,0.95069,0.97391,0.87233,0.29171,0.5102,0.36791,0.81034,0,0.000983413,0.000983413,0.000983413
31,1924.19,0.89575,2.27095,1.0033,1.42666,0,0.96022,0.98667,0.98338,0.93732,0.96022,0.98667,0.98338,0.91327,0.33971,0.40581,0.30113,0.81267,0,0.000979013,0.000979013,0.000979013
32,1985.31,0.88704,2.23504,0.97082,1.41561,0,0.96738,0.98667,0.98356,0.94217,0.96738,0.98667,0.98356,0.90081,0.32424,0.40935,0.26307,0.81158,0,0.000974614,0.000974614,0.000974614
33,2045.61,0.88045,2.18537,0.97681,1.40436,0,0.94264,0.92068,0.98387,0.91992,0.94264,0.92068,0.98387,0.89256,0.36945,0.43983,0.37469,0.8352,0,0.000970214,0.000970214,0.000970214
34,2106.01,0.86156,2.12336,0.94653,1.38869,0,0.98688,0.98667,0.98341,0.93173,0.98688,0.98667,0.98341,0.8874,0.32791,0.45333,0.29083,0.82571,0,0.000965815,0.000965815,0.000965815
35,2165.7,0.87601,2.14149,0.95485,1.40437,0,0.95444,0.98079,0.98401,0.92559,0.95444,0.98079,0.98401,0.91694,0.35791,0.39607,0.28059,0.85563,0,0.000961415,0.000961415,0.000961415
36,2225.64,0.91421,2.22751,0.98266,1.43188,0,0.97611,0.98667,0.9847,0.92535,0.97611,0.98667,0.9847,0.9151,0.35463,0.40544,0.31672,0.80968,0,0.000957015,0.000957015,0.000957015
37,2285.73,0.88667,2.18109,0.95998,1.3961,0,0.96831,0.98667,0.9834,0.93438,0.96831,0.98667,0.9834,0.92491,0.33506,0.36616,0.27531,0.81441,0,0.000952616,0.000952616,0.000952616
38,2349.46,0.86856,2.16775,0.9444,1.38052,0,0.96579,0.98667,0.9847,0.94074,0.96579,0.98667,0.9847,0.894,0.36672,0.48976,0.32374,0.81417,0,0.000948216,0.000948216,0.000948216
39,2414.99,0.85604,2.13306,0.91847,1.37339,0,0.97721,0.98667,0.98639,0.9288,0.97721,0.98667,0.98639,0.888,0.32082,0.60354,0.27216,0.80967,0,0.000943817,0.000943817,0.000943817
40,2480.31,0.83732,2.11343,0.88696,1.36628,0,0.97292,0.98667,0.98526,0.95029,0.97292,0.98667,0.98526,0.9144,0.29652,0.38418,0.25734,0.80913,0,0.000939417,0.000939417,0.000939417
41,2545.73,0.86019,2.10998,0.8892,1.3775,0,0.95248,0.97333,0.98199,0.92231,0.95248,0.97333,0.98199,0.91443,0.32755,0.40225,0.30024,0.82001,0,0.000935018,0.000935018,0.000935018
42,2607.05,0.84391,2.07471,0.88796,1.36828,0,0.95594,0.98667,0.98083,0.92993,0.95594,0.98667,0.98083,0.91454,0.33289,0.4233,0.2527,0.80986,0,0.000930618,0.000930618,0.000930618
43,2667.36,0.82738,2.08569,0.88913,1.35827,0,0.97603,0.98667,0.98334,0.94815,0.97603,0.98667,0.98334,0.91228,0.29256,0.41052,0.24205,0.81039,0,0.000926218,0.000926218,0.000926218
44,2727.78,0.81786,2.06574,0.8668,1.34421,0,0.97976,0.98667,0.98445,0.93579,0.97976,0.98667,0.98445,0.91463,0.26766,0.425,0.24129,0.79066,0,0.000921819,0.000921819,0.000921819
45,2787.86,0.83768,2.06912,0.8779,1.36721,0,0.97679,0.98667,0.98576,0.9391,0.97679,0.98667,0.98576,0.92266,0.36168,0.39877,0.26793,0.82298,0,0.000917419,0.000917419,0.000917419
46,2848.49,0.85154,2.12658,0.89983,1.3727,0,0.96512,0.98667,0.98333,0.94945,0.96512,0.98667,0.98333,0.92525,0.30909,0.38198,0.23639,0.79991,0,0.00091302,0.00091302,0.00091302
47,2909.66,0.82195,2.04028,0.86071,1.34487,0,0.96046,0.98667,0.98357,0.93634,0.96046,0.98667,0.98357,0.91111,0.31317,0.41813,0.24553,0.80642,0,0.00090862,0.00090862,0.00090862
48,2970.13,0.82198,2.07257,0.87458,1.3518,0,0.97619,0.98667,0.98416,0.94547,0.97619,0.98667,0.98416,0.89268,0.27454,0.47191,0.23308,0.80679,0,0.000904221,0.000904221,0.000904221
49,3030.8,0.80159,2.00222,0.81898,1.33078,0,0.95179,0.9614,0.98356,0.94581,0.95179,0.9614,0.98356,0.90979,0.29445,0.40758,0.30329,0.79592,0,0.000899821,0.000899821,0.000899821
50,3091.04,0.80158,2.01346,0.81954,1.3388,0,0.97463,0.9755,0.98363,0.94715,0.97463,0.9755,0.98363,0.91752,0.3355,0.35268,0.26055,0.81545,0,0.000895422,0.000895422,0.000895422
51,3151.6,0.7892,2.0066,0.80903,1.32088,0,0.98291,0.98366,0.98615,0.9541,0.98291,0.98366,0.98615,0.92144,0.26693,0.36462,0.25106,0.79573,0,0.000891022,0.000891022,0.000891022
52,3212.72,0.8132,2.0621,0.82935,1.33778,0,0.96963,0.98297,0.98381,0.95175,0.96963,0.98297,0.98381,0.88872,0.29351,0.42596,0.26787,0.80634,0,0.000886622,0.000886622,0.000886622
53,3273.01,0.79408,1.99355,0.8102,1.33046,0,0.97919,0.98667,0.98545,0.94654,0.97919,0.98667,0.98545,0.91941,0.25585,0.34665,0.21818,0.79689,0,0.000882223,0.000882223,0.000882223
54,3333.45,0.80928,2.04871,0.82468,1.3313,0,0.9795,0.98667,0.98615,0.95801,0.9795,0.98667,0.98615,0.93435,0.29192,0.3794,0.23482,0.79726,0,0.000877823,0.000877823,0.000877823
55,3394.84,0.77971,1.94897,0.78841,1.30017,0,0.98335,0.98667,0.98476,0.97336,0.98335,0.98667,0.98476,0.934,0.2382,0.38216,0.21255,0.79768,0,0.000873424,0.000873424,0.000873424
56,3456.45,0.78302,1.995,0.80414,1.31811,0,0.97844,0.98667,0.98594,0.96049,0.97844,0.98667,0.98594,0.93003,0.26412,0.37685,0.23078,0.79872,0,0.000869024,0.000869024,0.000869024
57,3516.92,0.77597,1.9451,0.79293,1.31071,0,0.97585,0.98667,0.98545,0.95583,0.97585,0.98667,0.98545,0.92744,0.28557,0.38459,0.22887,0.819,0,0.000864625,0.000864625,0.000864625
